nama,wilayah,provinsi,kategori_2023,jumlah_pelanggan_num,rasio_aset_sr_num,pipa_total_per_pelanggan,pegawai_per_1000pel,cluster,nama_klaster
PERUMDAM Palangka Raya Kota Palangka Raya,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Tengah,KURANG SEHAT,121.0,2062306.0,6221.793388429752,586.7768595041323,3,Ekstrem Terisolasi
PT. Air Minum Berkah Banua (Perseroda) Kabupaten Tanah Laut,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Selatan,SEHAT,13354.0,2003488.0,18.675078628126403,3.968848285158005,1,Kecil-Sedang Tipikal
PDAM Kotabaru Kabupaten Kotabaru,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Selatan,SEHAT,21592.0,4759402.0,20.426083734716563,5.372360133382734,4,Kecil-Sedang Aset Tinggi
PT. Air Minum Intan Banjar (Perseroda) Kabupaten Banjar & Kota Banjar,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Selatan,SEHAT,124282.0,4605363.0,11.996620588661273,0.8207141822629183,2,Besar-Efisien
PDAM Kabupaten Barito Kuala,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Selatan,SEHAT,39012.0,3546239.0,16.869911822003488,3.5373731159643187,2,Besar-Efisien
PT Bastari Maju Tapin (Perseroda) Kabupaten Tapin,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Selatan,SEHAT,2599.0,4136213.0,158.07733743747596,44.24778761061947,0,Kecil-Tidak Efisien
PT. Tirta Amandit (Perseroda) Kabupaten Hulu Sungai Selatan,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Selatan,SEHAT,23728.0,1505741.0,11.342338165879973,4.383007417397168,1,Kecil-Sedang Tipikal
PT. Air Minum Murakata Lestari (Perseroda) Kabupaten Hulu Sungai Tengah,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Selatan,SEHAT,19575.0,5956931.0,20.731289910600257,5.874840357598979,4,Kecil-Sedang Aset Tinggi
PDAM Hulu Sungai Utara Kabupaten Hulu Sungai Utara,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Selatan,SEHAT,31991.0,2548747.0,61.51930230377294,3.782313775749429,2,Besar-Efisien
PT. Air Minum Tabalong Bersinar (Perseroda) Kabupaten Tabalong,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Selatan,SEHAT,33562.0,6849119.0,17.061706692092248,2.741195399559025,4,Kecil-Sedang Aset Tinggi
PT. Air Minum Bersujud (Perseroda) Kabupaten Tanah Bumbu,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Selatan,SEHAT,3836.0,2406748.0,193.67778936392077,40.92805005213764,0,Kecil-Tidak Efisien
PT. Air Minum Sanggam Balangan (Perseroda) Kabupaten Balangan,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Selatan,SEHAT,25925.0,3177043.0,15.0325168756027,3.548698167791707,2,Besar-Efisien
PT. Air Minum Bandarmasih (Perseroda) Kota Banjarmasin,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Selatan,SEHAT,184913.0,4027347.0,10.799916717591517,2.0604284176883185,2,Besar-Efisien
PERUMDAM Tirta Kandilo Kabupaten Paser,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Timur,SEHAT,31372.0,3657663.0,23.11261634578605,4.590080326405713,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Sendawar Kabupaten Kutai Barat,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Timur,SEHAT,18855.0,2869988.0,24.37204985415009,6.73561389551843,4,Kecil-Sedang Aset Tinggi
PERUMDA Tirta Mahakam Kabupaten Kutai Kartanegara,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Timur,SEHAT,106334.0,3862975.0,16.351091842684372,3.667688603833205,2,Besar-Efisien
PERUMDAM Tirta Tuah Benua Kabupaten Kutai Timur,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Timur,SEHAT,45847.0,3107179.0,17.55779004078784,6.478068357798765,2,Besar-Efisien
PERUMDAM Batiwakkal Kabupaten Berau,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Timur,SEHAT,37456.0,5574455.0,18.47922896198206,2.963477146518582,4,Kecil-Sedang Aset Tinggi
PERUMDAM Danum Taka Kabupaten Penajam Paser Utara,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Timur,SEHAT,14775.0,1911539.0,17.419560067681896,5.482233502538072,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Kencana Kota Samarinda,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Timur,SEHAT,173654.0,3629611.0,9.416339387517707,3.570317988644085,2,Besar-Efisien
PERUMDA Tirta Manuntung Kota Balikpapan,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Timur,SEHAT,116389.0,4776120.0,16.305870829717584,3.5398534225742986,2,Besar-Efisien
PERUMDAM Tirta Taman Kota Bontang,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Timur,SEHAT,33769.0,3208407.0,0.7736385442269537,2.4578755663478336,2,Besar-Efisien
PERUMDAM Apa’ Mening Kabupaten Malinau,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Utara,SEHAT,14964.0,1812169.0,28.143076717455227,4.210104250200481,1,Kecil-Sedang Tipikal
PERUMDAM Danum Benuanta Kabupaten Bulungan,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Utara,SEHAT,17526.0,4519940.0,15.033378979801435,4.336414469930389,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Taka Kabupaten Nunukan,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Utara,SEHAT,19369.0,1597009.0,27.1286075687955,4.078682430688214,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Alam Kota Tarakan,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Utara,SEHAT,49377.0,5599933.0,14.299046114587764,3.827693055471171,2,Besar-Efisien
PERUMDAM Tirta Sungoi Sesayap Kabupaten Tana Tidung,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Kalimantan Utara,KURANG SEHAT,2223.0,1220002.0,19.613135402609085,5.847953216374268,1,Kecil-Sedang Tipikal
PDAM Kabupaten Bolaang Mongondow,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Utara,SEHAT,26448.0,2298357.0,13.594978826376286,5.104355716878403,2,Besar-Efisien
PDAM Kabupaten Minahasa,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Utara,SAKIT,20758.0,1678785.0,18.614124674824165,6.5998651122458805,1,Kecil-Sedang Tipikal
PUDAM Ake’u Banua Kabupaten Kepulauan Sangihe,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Utara,SAKIT,17777.0,6101596.0,16.8579062833999,11.419249592169658,4,Kecil-Sedang Aset Tinggi
PDAM Kabupaten Kepulauan Talaud,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Utara,KURANG SEHAT,4789.0,4295698.0,32.97744831906452,6.890791396951348,4,Kecil-Sedang Aset Tinggi
PDAM Kabupaten Minahasa Selatan,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Utara,SAKIT,7103.0,5503284.0,8.0247782627059,5.068281008024778,4,Kecil-Sedang Aset Tinggi
PDAM Kabupaten Minahasa Utara,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Utara,KURANG SEHAT,13206.0,794624.0,9.205285476298652,6.057852491291837,1,Kecil-Sedang Tipikal
PDAM Kabupaten Kepulauan Siau Tagulandang Biaro,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Utara,SAKIT,369.0,4288715.0,209.479674796748,75.88075880758807,0,Kecil-Tidak Efisien
PERUMDAM Duasudara Kota Bitung,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Utara,SEHAT,33419.0,3587783.0,14.100960531434216,5.47592686794937,2,Besar-Efisien
PDAM Kota Tomohon,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Utara,KURANG SEHAT,11229.0,1382974.0,12.318550182563008,6.768189509306261,1,Kecil-Sedang Tipikal
PDAM Kabupaten Minahasa Tenggara,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Utara,KURANG SEHAT,6127.0,3432717.0,14.21903052064632,6.3652684837604045,4,Kecil-Sedang Aset Tinggi
PERUMDAM Wanua Wenang Kota Manado,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Utara,SEHAT,29886.0,2757044.0,14.956635213812488,8.365120792344241,2,Besar-Efisien
PERUMDAM Tirta Mandar Kabupaten Majene,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Barat,KURANG SEHAT,6657.0,5333058.0,30.471683941715487,11.566771819137749,4,Kecil-Sedang Aset Tinggi
PERUMDAM Wai Tipalayo Kabupaten Polewali Mandar,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Barat,SEHAT,22104.0,1551843.0,26.86653999276149,5.65508505247919,1,Kecil-Sedang Tipikal
PDAM Kabupaten Mamasa,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Barat,SAKIT,5018.0,1268900.0,24.984057393383814,9.565563969709046,1,Kecil-Sedang Tipikal
PDAM Tirta Manakarra Kabupaten Mamuju,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Barat,SEHAT,21929.0,3686139.0,16.065666469059238,7.934698344657759,4,Kecil-Sedang Aset Tinggi
PDAM Paisu Molino Kepulauan Kabupaten Banggai Kepulauan,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tengah,KURANG SEHAT,10512.0,1008755.0,41.87490487062405,6.754185692541856,1,Kecil-Sedang Tipikal
PERUMDAM Kabupaten Banggai,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tengah,KURANG SEHAT,23729.0,1211538.0,10.725357157908045,7.627797210164777,1,Kecil-Sedang Tipikal
PDAM Kabupaten Poso,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tengah,SEHAT,16562.0,977564.0,15.861369399830938,4.890713681922473,1,Kecil-Sedang Tipikal
PERUMDAM Uwe Lino Kabupaten Donggala,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tengah,SEHAT,27728.0,1044011.0,29.07620455856896,4.724466243508367,1,Kecil-Sedang Tipikal
PDAM Ogo Malane Kabupaten Tolitoli,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tengah,SEHAT,18867.0,1668984.0,18.06418614512111,3.7101817989081463,1,Kecil-Sedang Tipikal
PERUMDAM Motanang Kabupaten Buol,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tengah,KURANG SEHAT,7422.0,1508182.0,8.993667475074105,4.985179196981946,1,Kecil-Sedang Tipikal
PDAM Ue’ Tanah Kabupaten Tojo Una-Una,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tengah,KURANG SEHAT,20702.0,1064168.0,21.329919814510674,4.105883489517922,1,Kecil-Sedang Tipikal
PERUMDAM AVO Kota Palu,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tengah,KURANG SEHAT,10471.0,643734.0,16.082131601566232,5.252602425747303,1,Kecil-Sedang Tipikal
PERUMDAM Paisu Moute Kabupaten Banggai laut,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tengah,KURANG SEHAT,5431.0,975292.0,22.520714417234394,7.549254280979562,1,Kecil-Sedang Tipikal
PDAM Kabupaten Morowali,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tengah,KURANG SEHAT,5755.0,3645882.0,30.54874022589053,5.734144222415291,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Takawa Kabupaten Buton,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,SEHAT,26217.0,1198322.0,15.465766487393676,5.797764809093336,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Sugi Laende Kabupaten Muna,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,KURANG SEHAT,10131.0,1864308.0,14.447241141052215,5.034053893988748,1,Kecil-Sedang Tipikal
PDAM Kabupaten Konawe,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,SAKIT,1788.0,4518645.0,166.079418344519,12.863534675615211,0,Kecil-Tidak Efisien
PERUMDAM Tirta Sorume Kabupaten Kolaka,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,SAKIT,11766.0,1609218.0,30.05966343702193,7.989121196668366,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Moico Kabupaten Bombana,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,KURANG SEHAT,7967.0,7709243.0,42.06100163173089,8.158654449604619,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Wakatobi Kabupaten Wakatobi,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,SEHAT,1357.0,5763476.0,163.43478260869566,38.31982313927782,0,Kecil-Tidak Efisien
PERUMDAM Tirta Tampanama Kabupaten Kolaka Utara,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,KURANG SEHAT,15018.0,1953360.0,26.9521241177254,9.12238646956985,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Simbune Kabupaten Kolaka Timur,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,KURANG SEHAT,3234.0,6159831.0,37.41156462585034,6.802721088435374,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Lamaindo Kabupaten Buton Selatan,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,KURANG SEHAT,12883.0,4581091.0,18.9925483194908,6.287355429635954,4,Kecil-Sedang Aset Tinggi
PERUMDAM Mata Iwoi Kabupaten Konawe Selatan,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,SAKIT,1484.0,43626864.0,82.93800539083558,10.107816711590296,4,Kecil-Sedang Aset Tinggi
PERUMDA Oeno Lia Kabupaten Buton Tengah,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,SAKIT,3883.0,4449226.0,8.292557301055885,6.438320885912954,4,Kecil-Sedang Aset Tinggi
PDAM Tirta Semerbak Kota Baubau,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,KURANG SEHAT,18369.0,3181340.0,13.346725461375144,7.294899014644238,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Anoa Kota Kendari,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Tenggara,SAKIT,13003.0,5047580.0,86.64569714681227,20.76443897562101,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Tanadong Kabupaten Kepulauan Selayar,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SAKIT,8018.0,1407475.0,31.13544524819157,6.859565976552756,1,Kecil-Sedang Tipikal
PDAM Kabupaten Bulukumba,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SAKIT,10954.0,2396425.0,25.339419390177103,4.473251780171627,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Eremerasa Kabupaten Bantaeng,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,KURANG SEHAT,22457.0,606956.0,13.15736741327871,4.987309079574297,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Panrannuangku Kabupaten Takalar,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SEHAT,23384.0,1375158.0,39.362598357851525,4.875128292849811,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Jeneberang Kabupaten Gowa,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SEHAT,56992.0,1501666.0,16.807499298147107,5.807832678270635,2,Besar-Efisien
PERUMDAM Tirta Sinjai Bersatu Kabupaten Sinjai,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SEHAT,17581.0,3237164.0,23.641487969967574,7.109948239576815,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Bantimurung Kabupaten Maros,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SEHAT,23063.0,1338994.0,0.126089407275723,6.547283527728395,1,Kecil-Sedang Tipikal
PERUMDAM Je’ne Tagari Kabupaten Pangkajene dan Kepulauan,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SAKIT,17339.0,78127.0,26.998788857488897,6.17105946132995,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Waesai Kabupaten Barru,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,KURANG SEHAT,1444.0,2370533.0,190.5373961218837,53.32409972299169,0,Kecil-Tidak Efisien
PERUMDAM Wae Manurung Kabupaten Bone,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,KURANG SEHAT,21521.0,993061.0,21.692579341108683,12.87114911017146,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Ompo Kabupaten Soppeng,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SAKIT,12347.0,2849098.0,10.861585810318296,6.641289382036122,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Danau Tempe Kabupaten Wajo,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,KURANG SEHAT,19963.0,558802.0,16.662124931122577,4.808896458448129,1,Kecil-Sedang Tipikal
PDAM Tirta Nene Mallomo Kabupaten Sidenreng Rappang,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,KURANG SEHAT,7019.0,1731313.0,74.38538253312437,7.69340361874911,1,Kecil-Sedang Tipikal
PERUMDAM TIRTA MASSENREMPULU Kabupaten Enrekang,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SEHAT,13854.0,3323785.0,13.102425292334344,4.54742312689476,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Latimojong Kabupaten Luwu,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,KURANG SEHAT,13285.0,2737407.0,36.95566428302597,7.753105005645465,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Buisun Kabupaten Tana Toraja,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,KURANG SEHAT,9343.0,1173911.0,29.81890185165365,7.278176174676228,1,Kecil-Sedang Tipikal
PERUMDA Tirta Bukae Kabupaten Luwu Utara,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SEHAT,13034.0,1200077.0,26.544729169863437,5.984348626668713,1,Kecil-Sedang Tipikal
PERUMDAM Waemami Kabupaten Luwu Timur,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SEHAT,1936.0,5696637.0,359.35743801652893,69.21487603305786,0,Kecil-Tidak Efisien
PERUMDAM Kabupaten Toraja Utara,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SEHAT,15105.0,1399212.0,24.23508771929825,9.069844422376695,1,Kecil-Sedang Tipikal
PERUMDAM Kota Makassar,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SEHAT,221286.0,2256617.0,16.265895718662726,6.326654194119827,2,Besar-Efisien
PERUMDAM Tirta Karajae Kota Parepare,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SEHAT,27966.0,2319835.0,14.314703568619038,4.934563398412358,2,Besar-Efisien
PERUMDA Tirta Mangkaluku Kota Palopo,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,SEHAT,41599.0,2084549.0,14.430058414865742,7.572297410995457,2,Besar-Efisien
PDAM Kabupaten Jeneponto,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Sulawesi Selatan,KURANG SEHAT,10077.0,1363674.0,9.350898084747444,9.22893718368562,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Boalemo Kabupaten Boalemo,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Gorontalo,SEHAT,16781.0,2751660.0,32.00148978010846,5.720755616471009,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Limutu Kabupaten Gorontalo,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Gorontalo,KURANG SEHAT,25177.0,1779278.0,23.34765857727291,5.918099853040474,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Moolango Kabupaten Pohuwato,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Gorontalo,KURANG SEHAT,20027.0,3015861.0,18.66784840465372,5.892045738253358,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Gerbang Emas Kabupaten Gorontalo Utara,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Gorontalo,KURANG SEHAT,10244.0,1383110.0,31.26239750097618,5.173760249902382,1,Kecil-Sedang Tipikal
PERUMDAM Muara Tirta Kota Gorontalo,Wilayah III — Kalimantan & Sulawesi (11 Provinsi),Gorontalo,SEHAT,31782.0,2552400.0,13.859889245484863,5.317475300484551,2,Besar-Efisien
PERUMDAM Tirta Amertha Jati Kabupaten Jembrana,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Bali,SEHAT,25893.0,1090953.0,29.265863360753876,6.410999111729039,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Amertha Buana Kabupaten Tabanan,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Bali,SEHAT,66219.0,2153727.0,17.850964224769324,5.678128633775804,2,Besar-Efisien
PERUMDAM Tirta Mangutama Kabupaten Badung,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Bali,SEHAT,90901.0,5194398.0,17.134739991859277,3.245288830705933,2,Besar-Efisien
PERUMDAM Tirta Sanjiwani Kabupaten Gianyar,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Bali,SEHAT,6111.0,2469819.0,209.1507118311242,35.34609720176731,0,Kecil-Tidak Efisien
PERUMDAM Panca Mahottama Kabupaten Klungkung,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Bali,SEHAT,39409.0,1416311.0,24.86617270166713,4.288360526783221,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Danu Arta Kabupaten Bangli,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Bali,SEHAT,23173.0,1435465.0,19.92322962067924,5.73943813921374,1,Kecil-Sedang Tipikal
PERUMDA Tirta Tohlangkir Kabupaten Karangasem,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Bali,SEHAT,42619.0,2247459.0,24.024613435322276,3.144137591215186,2,Besar-Efisien
PERUMDAM Tirta Hita Buleleng Kabupaten Buleleng,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Bali,SEHAT,64264.0,1785236.0,16.299670110792977,5.2439935267023525,2,Besar-Efisien
PERUMDAM Tirta Sewakadarma Kota Denpasar,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Bali,SEHAT,90126.0,3842967.0,25.11986552160309,3.2620997270487986,2,Besar-Efisien
PT Air Minum Giri Menang (Perseroda) Kabupaten Lombok Barat dan Kota Mataram,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Barat,SEHAT,154892.0,4655584.0,14.867010562198177,1.6785889523022497,2,Besar-Efisien
PERUMDAM Tirta Ardhia Rinjani Kabupaten Lombok Tengah,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Barat,SEHAT,56053.0,1231204.0,21.41592778263429,5.209355431466648,1,Kecil-Sedang Tipikal
PDAM Kabupaten Lombok Timur,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Barat,SEHAT,3285.0,2099000.0,247.2048706240487,52.66362252663623,0,Kecil-Tidak Efisien
PERUMDAM Batulanteh Kabupaten Sumbawa,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Barat,KURANG SEHAT,22588.0,637731.0,15.059234992031168,7.171949707809456,1,Kecil-Sedang Tipikal
PDAM Kabupaten Bima,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Barat,SAKIT,13614.0,2697207.0,16.002938151902452,4.1868664609960335,4,Kecil-Sedang Aset Tinggi
PERUMDAM Bintang Bano Kabupaten Sumbawa Barat,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Barat,KURANG SEHAT,16779.0,1628231.0,23.52821979855772,5.900232433398892,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Rora Kabupaten Dompu,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Barat,SAKIT,8654.0,3866180.0,13.079500808874508,5.546568061012249,4,Kecil-Sedang Aset Tinggi
PERUMDAM Amerta Dayan Gunung Kabupaten Lombok Utara,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Barat,SEHAT,24229.0,2827038.0,18.75661397498865,4.003466919806844,2,Besar-Efisien
PERUMDAM Matawai Amahu Kabupaten Sumba Timur,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Timur,SEHAT,12472.0,2303523.0,19.612973059653623,4.329698524695317,1,Kecil-Sedang Tipikal
PERUMDAM Kabupaten Kupang,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Timur,SEHAT,36835.0,1077357.0,13.334247319125833,5.592507126374372,1,Kecil-Sedang Tipikal
PERUMDAM Kabupaten Timor Tengah Selatan,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Timur,KURANG SEHAT,819.0,1210930.0,297.5811965811966,86.69108669108668,0,Kecil-Tidak Efisien
PERUMDAM Tirta Cendana Kabupaten Timor Tengah Utara,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Timur,SEHAT,737.0,851099.0,242.45590230664857,48.84667571234736,0,Kecil-Tidak Efisien
PDAM Kabupaten Belu,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Timur,SEHAT,7467.0,10022364.0,35.70537029596893,5.62474889513861,4,Kecil-Sedang Aset Tinggi
PERUMDAM Nusa Kenari Kabupaten Alor,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Timur,KURANG SEHAT,5811.0,416840.0,17.819652383410773,5.334710032696609,1,Kecil-Sedang Tipikal
PDAM Kabupaten Lembata,"Wilayah IV — Bali, Nusa Tenggara, Maluku & Papua (9 Provinsi)",Nusa Tenggara Timur,SEHAT,7216.0,1252045.0,12.239606430155211,5.12749445676275,1,Kecil-Sedang Tipikal
